work_area,station,latitude,longitude,time,bottom_date_time,end_date_time,depth,temperature,salinity,dissolved_oxygen_ml_l,dissolved_oxygen_percent,turbidity,par,ph
,,degrees_north,degrees_east,UTC,UTC,,m,degree_Celsius,PSU,mL L-1,,FTU,umol m-2 s-1,-log[H+]
CALVERT,KFPS04,51.6796000000001,-128.1171,2013-07-20T19:07:54Z,2013-07-20T19:08:09Z,2013-07-20 19:08:51.834+00,1.957,10.8628,30.7547,6.5762,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2013-10-15T22:45:20Z,2013-10-15T22:45:38Z,2013-10-15 22:45:54.5+00,2.041,11.1217,29.7553,5.6375,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2013-11-28T22:04:32Z,2013-11-28T22:04:44Z,2013-11-28 22:05:09.334+00,1.935,NaN,NaN,NaN,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2014-06-30T20:32:56Z,2014-06-30T20:33:20Z,2014-06-30 20:34:02.501+00,1.933,NaN,NaN,NaN,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2014-07-14T20:50:30Z,2014-07-14T20:50:44Z,2014-07-14 20:51:09.833+00,2.052,11.1204,31.2967,6.567,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2014-07-21T18:06:04Z,2014-07-21T18:06:24Z,,1.976,12.1974,31.0635,6.4861,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2014-08-02T19:38:07Z,2014-08-02T19:38:19Z,2014-08-02 19:38:45.499+00,1.978,12.5849,30.082,7.2509,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2014-08-10T19:50:37Z,2014-08-10T19:50:51Z,2014-08-10 19:51:19.833+00,2.053,13.5182,30.6494,6.4664,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2014-08-24T20:26:34Z,2014-08-24T20:26:42Z,2014-08-24 20:27:08.833+00,1.97,11.6704,30.4377,6.1017,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2014-09-15T16:29:13Z,2014-09-15T16:29:26Z,2014-09-15 16:30:04+00,1.884,11.0007,30.5649,6.089,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2015-03-15T20:19:28Z,2015-03-15T20:19:42Z,2015-03-15 20:20:21.667+00,1.942,9.292,30.5449,7.6917,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2015-03-22T19:11:08Z,2015-03-22T19:11:29Z,2015-03-22 19:11:51.334+00,1.909,NaN,NaN,NaN,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2015-04-05T20:45:07Z,2015-04-05T20:45:30Z,2015-04-05 20:45:53.333+00,2.003,NaN,NaN,NaN,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2015-04-10T16:50:00Z,2015-04-10T16:50:33Z,2015-04-10 16:50:54.501+00,1.967,NaN,NaN,NaN,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2015-04-25T20:07:26Z,2015-04-25T20:07:39Z,2015-04-25 20:08:12+00,2.029,9.6931,30.155,8.0011,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2015-05-02T21:32:55Z,2015-05-02T21:33:15Z,2015-05-02 21:33:43.833+00,1.995,NaN,NaN,NaN,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2015-05-16T20:29:52Z,2015-05-16T20:30:13Z,2015-05-16 20:30:42.834+00,1.983,10.3488,30.6406,7.3748,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2015-06-06T16:36:49Z,2015-06-06T16:36:59Z,2015-06-06 16:37:23.333+00,1.966,10.9179,30.6444,7.4726,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2015-06-26T16:23:46Z,2015-06-26T16:23:58Z,2015-06-26 16:24:34+00,1.955,14.319,30.0768,8.2051,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2015-07-18T16:22:14Z,2015-07-18T16:22:29Z,2015-07-18 16:23:01.833+00,2.006,12.2465,30.4603,5.7997,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2015-08-08T19:48:40Z,2015-08-08T19:48:51Z,2015-08-08 19:49:45+00,1.861,14.8171,30.4506,6.1089,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2015-09-02T17:04:43Z,2015-09-02T17:04:56Z,2015-09-02 17:05:13.667+00,1.968,11.1771,31.1901,NaN,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2015-09-19T16:37:59Z,2015-09-19T16:38:10Z,2015-09-19 16:38:41.5+00,2.013,12.4777,30.3886,NaN,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2015-10-07T19:22:47Z,2015-10-07T19:23:31Z,2015-10-07 19:23:45+00,2.037,11.4167,29.0654,6.0345,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2015-10-30T17:39:52Z,2015-10-30T17:40:09Z,2015-10-30 17:40:41.501+00,1.933,11.7443,30.8334,6.1071,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2016-03-27T17:34:57Z,2016-03-27T17:35:10Z,2016-03-27 17:37:37.333+00,1.96,8.8422,30.5768,6.7698,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2016-03-27T17:43:09Z,2016-03-27T17:45:55Z,2016-03-27 17:47:29.167+00,1.873,8.8351,30.5843,6.8065,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2016-03-27T17:52:09Z,2016-03-27T17:52:16Z,2016-03-27 17:52:26.333+00,2.004,8.8653,30.6041,6.8754,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2016-05-05T16:32:25Z,2016-05-05T16:34:40Z,2016-05-05 16:36:32.833+00,1.978,NaN,NaN,NaN,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2016-05-05T16:41:54Z,2016-05-05T16:42:08Z,2016-05-05 16:42:26.334+00,1.936,9.8188,30.3418,6.4872,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2016-05-27T16:55:06Z,2016-05-27T16:56:45Z,2016-05-27 17:01:41.5+00,1.935,9.8656,31.0632,6.6388,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2016-05-27T16:55:06Z,2016-05-27T16:56:45Z,2016-05-27 17:01:41.5+00,1.935,9.8656,31.0632,6.6388,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2016-06-16T16:55:37Z,2016-06-16T16:58:11Z,2016-06-16 16:59:49.833+00,2.015,11.4003,31.2207,6.1947,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2016-06-16T17:05:23Z,2016-06-16T17:05:33Z,2016-06-16 17:05:49+00,1.962,11.4066,31.1997,6.2186,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2016-07-07T16:01:04Z,2016-07-07T16:02:29Z,2016-07-07 16:03:26.499+00,1.99,12.188,30.8648,6.2549,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2016-07-07T16:07:05Z,2016-07-07T16:07:16Z,2016-07-07 16:07:31.666+00,1.986,12.2181,30.8795,6.2706,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2016-07-25T16:05:16Z,2016-07-25T16:05:29Z,2016-07-25 16:05:45.834+00,2.018,14.2404,31.1045,6.1744,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2016-08-15T16:00:52Z,2016-08-15T16:02:37Z,2016-08-15 16:04:05.333+00,1.971,NaN,NaN,NaN,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2016-08-15T16:08:43Z,2016-08-15T16:08:56Z,2016-08-15 16:09:11+00,1.974,11.1781,31.5943,5.8039,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2016-09-06T16:15:35Z,2016-09-06T16:16:52Z,2016-09-06 16:19:29+00,1.927,12.4549,29.1819,6.607,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2016-09-06T16:24:47Z,2016-09-06T16:24:55Z,2016-09-06 16:25:04.834+00,1.991,12.3903,29.3003,6.5661,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2016-09-27T16:28:07Z,2016-09-27T16:29:47Z,2016-09-27 16:30:37.166+00,1.874,10.6666,31.2331,6.0209,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2016-09-27T16:36:07Z,2016-09-27T16:36:20Z,2016-09-27 16:36:36.833+00,1.983,10.6677,31.2509,5.9678,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2017-03-26T17:10:38Z,2017-03-26T17:10:49Z,2017-03-26 17:11:02.333+00,1.983,7.2593,31.0015,7.8575,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2017-04-16T15:46:57Z,2017-04-16T15:47:03Z,2017-04-16 15:47:15.5+00,1.99,NaN,NaN,NaN,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2017-05-06T20:12:32Z,2017-05-06T20:12:49Z,2017-05-06 20:12:59+00,1.992,NaN,NaN,NaN,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2017-05-28T18:48:16Z,2017-05-28T18:48:22Z,2017-05-28 18:48:32.167+00,1.926,9.6531,30.8381,7.0994,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2017-06-12T18:06:54Z,2017-06-12T18:07:05Z,2017-06-12 18:07:38.167+00,1.966,10.5097,29.7713,6.4451,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2017-06-12T18:12:01Z,2017-06-12T18:12:10Z,2017-06-12 18:12:20.667+00,1.897,NaN,NaN,NaN,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2017-07-06T18:25:26Z,2017-07-06T18:25:52Z,2017-07-06 18:26:11.666+00,1.922,12.4989,27.6235,7.7458,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2017-07-06T18:30:14Z,2017-07-06T18:30:27Z,2017-07-06 18:30:37.5+00,1.975,12.3479,27.8208,7.791,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2017-08-19T20:58:26Z,2017-08-19T20:58:52Z,2017-08-19 20:59:23.333+00,1.867,NaN,NaN,NaN,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2017-08-19T21:06:09Z,2017-08-19T21:06:16Z,2017-08-19 21:06:29.833+00,2.019,12.7759,30.6748,6.0754,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2017-09-03T18:25:53Z,2017-09-03T18:26:34Z,2017-09-03 18:26:57.166+00,2.019,13.9137,30.3375,5.9881,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2017-09-03T18:31:32Z,2017-09-03T18:31:50Z,2017-09-03 18:32:02.833+00,2.017,13.8585,29.994,5.8843,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2017-09-28T17:55:35Z,2017-09-28T17:55:46Z,2017-09-28 17:56:18.5+00,1.865,12.1224,29.0598,5.882,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2018-04-02T18:35:05Z,2018-04-02T18:35:15Z,2018-04-02 18:35:21.5+00,1.952,7.5928,31.6222,6.3252,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2018-05-01T19:13:36Z,2018-05-01T19:13:47Z,2018-05-01 19:14:13.667+00,1.919,8.8799,31.5435,7.1319,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2018-05-29T20:18:35Z,2018-05-29T20:18:44Z,2018-05-29 20:18:51.5+00,2.013,10.901,31.097,6.8898,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2018-06-22T18:19:03Z,2018-06-22T18:19:12Z,2018-06-22 18:19:18.166+00,2.005,12.2299,29.089,6.874,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2018-07-18T21:20:56Z,2018-07-18T21:21:01Z,2018-07-18 21:21:07.5+00,2.01,11.4048,31.6352,6.4915,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2018-08-29T19:23:36Z,2018-08-29T19:23:44Z,2018-08-29 19:24:13.834+00,1.998,11.2041,31.5313,5.2962,,NaN,NaN,NaN
CALVERT,KFPS04,51.6796000000001,-128.1171,2024-07-19T20:41:00Z,2024-07-19T20:41:09Z,2024-07-19 20:41:16.937+00,1.9675074340967704,11.201116851851852,30.980672750349385,5.5443071625582405,88.4059700673211,NaN,748.8845,NaN
CALVERT,SEA2,51.6746000000001,-128.118,2024-05-18T22:39:11Z,2024-05-18T22:39:15Z,2024-05-18 22:39:16.083+00,1.9551344750371928,10.607582708333332,31.035333965596443,7.297846178250937,112.18464460678601,2.937734311888664,101.62303895000001,NaN
CALVERT,SEA2,51.6746000000001,-128.118,2024-08-12T18:44:06Z,2024-08-12T18:44:24Z,2024-08-12 18:44:26.25+00,2.057951695964927,11.803654707407409,29.71909555851508,5.451851808943155,84.6770580251306,6.326883070914392,104.93126303333332,NaN
CALVERT,SEA2,51.6746000000001,-128.118,2024-09-30T18:27:22Z,2024-09-30T18:27:29Z,2024-09-30 18:27:29.417+00,2.003720693441445,10.604811537037037,29.056895242825956,6.470214911739066,96.7055313865871,9.00806156515086,24.0889442,NaN
