region,site,lat,long,"depth (m, chart datum)",bed_area_m2,,,,
choked,choked_inner,51.675,-128.119,4.6,354580,51.665,51.685,-128.124,-128.114
choked,choked_sandspit,51.678,-128.115,1.06,354580,51.668,51.688,-128.12,-128.11
choked,choked_wolf,51.668,-128.119,2.58,354580,51.658,51.678,-128.124,-128.114
triquet,triquet_north,51.808875,-128.247457,3.46,8900,51.798875,51.818875,-128.252457,-128.242457
triquet,triquet_south,51.80869,-128.235858,0.33,31074,51.79869,51.81869,-128.240858,-128.230858
pruth,pruth_pocket,51.395,-128.069,1,2943.5,51.385,51.405,-128.074,-128.064
pruth,pruth_bay,51.388,-128.071,-0.55,34982,51.378,51.398,-128.076,-128.066
mcmullins,mcmullins_north,52.061781,-128.412394,0.71,22778,52.051781,52.071781,-128.417394,-128.407394
mcmullins,mcmullins_south,52.053018,-128.403636,0.71,16900,52.043018,52.063018,-128.408636,-128.398636
goose,goose_south_west,51.922786,-128.464532,2.18,215570,51.912786,51.932786,-128.469532,-128.459532
goose,goose_south_east,51.926522,-128.45317,1.95,569520,51.916522,51.936522,-128.45817,-128.44817