work_area,station,latitude,longitude,time,bottom_date_time,depth,temperature,salinity,dissolved_oxygen_ml_l
,,degrees_north,degrees_east,UTC,UTC,m,degree_Celsius,PSU,mL L-1
CALVERT,FZH04,51.821,-127.955,2014-04-03T19:08:17Z,2014-04-03T19:15:33Z,1.995,7.8095,29.7492,7.7155
CALVERT,FZH04,51.821,-127.955,2014-04-22T21:18:05Z,2014-04-22T21:25:13Z,1.956,8.5599,29.3494,7.2916
CALVERT,FZH04,51.821,-127.955,2014-05-14T17:20:52Z,2014-05-14T17:27:59Z,1.958,10.8514,28.3108,10.1778
CALVERT,FZH04,51.821,-127.955,2014-06-01T20:18:41Z,2014-06-01T20:25:55Z,2.006,10.5499,27.3679,8.2365
CALVERT,FZH04,51.821,-127.955,2014-06-06T20:06:05Z,2014-06-06T20:13:14Z,2.071,9.0361,29.9444,6.0268
CALVERT,FZH04,51.821,-127.955,2014-06-22T17:34:24Z,2014-06-22T17:41:50Z,2.022,11.5076,27.1937,8.9151
CALVERT,FZH04,51.821,-127.955,2014-06-27T18:29:52Z,2014-06-27T18:34:52Z,1.985,12.8849,24.2963,7.4714
CALVERT,FZH04,51.821,-127.955,2014-07-12T21:35:11Z,2014-07-12T21:41:54Z,1.942,14.3029,25.9413,7.8909
CALVERT,FZH04,51.821,-127.955,2014-07-18T20:05:36Z,2014-07-18T20:11:45Z,1.962,11.5309,29.1645,8.381
CALVERT,FZH04,51.821,-127.955,2014-08-03T19:46:01Z,2014-08-03T19:50:13Z,2.039,14.1645,23.9262,7.9611
CALVERT,FZH04,51.821,-127.955,2014-09-14T17:45:56Z,2014-09-14T17:49:19Z,2.035,9.9319,28.7066,6.6118
CALVERT,FZH04,51.821,-127.955,2014-09-19T19:00:37Z,2014-09-19T19:04:05Z,2.02,11.0443,28.9794,7.5086
CALVERT,KFPC04,51.806317,-128.258567,2014-05-15T16:50:04Z,2014-05-15T16:50:25Z,1.934,10.6085,30.4671,7.7916
CALVERT,KFPC04,51.806317,-128.258567,2014-06-23T18:01:19Z,2014-06-23T18:01:44Z,1.983,11.5426,30.931,7.5436
CALVERT,KFPC04,51.806317,-128.258567,2014-07-17T17:51:21Z,2014-07-17T17:51:50Z,1.976,12.7839,31.3063,6.8715
CALVERT,KFPC04,51.806317,-128.258567,2014-08-27T22:20:16Z,2014-08-27T22:20:41Z,1.994,13.0631,30.4075,7.7139
CALVERT,KFPC04,51.806317,-128.258567,2016-07-10T17:24:01Z,2016-07-10T17:24:17Z,1.907,14.1513,28.5338,6.7986
CALVERT,KFPC04,51.806317,-128.258567,2016-07-10T17:24:01Z,2016-07-10T17:24:17Z,1.907,14.1513,28.5338,6.7986
CALVERT,KFPC04,51.806317,-128.258567,2017-03-26T20:48:18Z,2017-03-26T20:48:32Z,1.962,6.9468,30.773,8.3397
CALVERT,KFPC06,51.811267,-128.233617,2014-05-15T16:36:27Z,2014-05-15T16:36:47Z,1.94,10.7032,30.3133,7.9339
CALVERT,KFPC06,51.811267,-128.233617,2014-06-23T17:39:37Z,2014-06-23T17:39:58Z,2.015,11.2969,30.8587,7.4272
CALVERT,KFPC06,51.811267,-128.233617,2014-07-17T17:14:31Z,2014-07-17T17:15:10Z,1.917,13.0974,31.1118,7.3386
CALVERT,KFPC06,51.811267,-128.233617,2014-08-27T22:33:38Z,2014-08-27T22:34:01Z,2.01,13.6341,30.9769,7.0101
CALVERT,KFPC06,51.811267,-128.233617,2016-06-16T19:51:18Z,2016-06-16T19:54:31Z,1.973,12.1431,31.0476,6.7481
CALVERT,KFPC06,51.811267,-128.233617,2016-06-16T20:01:31Z,2016-06-16T20:01:48Z,2.034,12.1564,31.0615,6.7357
CALVERT,KFPC06,51.811267,-128.233617,2016-07-10T18:04:43Z,2016-07-10T18:07:19Z,1.959,14.1294,29.6297,6.7582
CALVERT,KFPC06,51.811267,-128.233617,2016-07-10T18:14:19Z,2016-07-10T18:14:44Z,1.992,14.1697,29.6993,6.5694
CALVERT,KFPC06,51.811267,-128.233617,2016-07-25T18:26:26Z,2016-07-25T18:29:56Z,1.988,14.6664,30.8035,6.4025
CALVERT,KFPC06,51.811267,-128.233617,2016-07-25T18:35:39Z,2016-07-25T18:36:02Z,2.015,14.6159,30.8234,6.441
CALVERT,KFPC06,51.811267,-128.233617,2016-08-15T19:25:15Z,2016-08-15T19:33:56Z,1.943,14.4891,31.0278,7.187
CALVERT,KFPC06,51.811267,-128.233617,2016-08-15T19:25:15Z,2016-08-15T19:33:56Z,1.943,14.4891,31.0278,7.187
CALVERT,KFPC06,51.811267,-128.233617,2016-09-06T18:39:25Z,2016-09-06T18:42:35Z,1.994,12.851,29.942,6.888
CALVERT,KFPC06,51.811267,-128.233617,2016-09-06T18:47:33Z,2016-09-06T18:47:49Z,1.961,12.9495,29.8747,6.9311
CALVERT,KFPC06,51.811267,-128.233617,2016-09-27T21:11:18Z,2016-09-27T21:14:14Z,1.959,11.8389,30.175,6.5195
CALVERT,KFPC06,51.811267,-128.233617,2016-09-27T21:21:53Z,2016-09-27T21:22:10Z,1.987,11.7907,30.2019,6.4866
CALVERT,KFPC06,51.811267,-128.233617,2017-03-26T21:13:09Z,2017-03-26T21:13:18Z,2.006,6.7735,30.4152,8.2493
CALVERT,KFPC06,51.811267,-128.233617,2017-05-06T16:32:24Z,2017-05-06T16:34:01Z,1.894,,,
CALVERT,KFPC06,51.811267,-128.233617,2017-05-06T16:39:52Z,2017-05-06T16:40:10Z,1.968,9.552,30.3135,
CALVERT,KFPC06,51.811267,-128.233617,2017-05-28T17:14:10Z,2017-05-28T17:14:35Z,2.018,10.7101,30.3911,7.651
CALVERT,KFPC06,51.811267,-128.233617,2017-06-12T16:18:30Z,2017-06-12T16:21:33Z,1.918,12.0805,29.2535,
CALVERT,KFPC06,51.811267,-128.233617,2017-06-12T16:18:30Z,2017-06-12T16:21:33Z,1.918,12.0805,29.2535,6.793
CALVERT,KFPC06,51.811267,-128.233617,2017-07-06T16:53:40Z,2017-07-06T16:55:46Z,1.919,13.4889,30.355,7.4462
CALVERT,KFPC06,51.811267,-128.233617,2017-07-20T17:47:43Z,2017-07-20T17:50:34Z,2.009,14.6776,30.3792,7.1371
CALVERT,KFPC06,51.811267,-128.233617,2017-07-20T17:47:43Z,2017-07-20T17:47:59Z,2.032,14.6776,30.3792,7.1371
CALVERT,KFPC06,51.811267,-128.233617,2017-09-03T16:31:57Z,2017-09-03T16:35:12Z,1.965,14.8221,28.7171,6.4408
CALVERT,KFPC06,51.811267,-128.233617,2017-09-03T16:44:27Z,2017-09-03T16:44:44Z,2.023,14.7681,28.7365,6.4058
CALVERT,KFPC06,51.811267,-128.233617,2017-09-28T16:18:39Z,2017-09-28T16:20:22Z,1.899,13.0414,29.4625,6.0977
CALVERT,KFPC06,51.811267,-128.233617,2017-09-28T16:27:47Z,2017-09-28T16:28:10Z,1.953,13.0391,29.4753,6.0742
CALVERT,KFPC06,51.811267,-128.233617,2018-04-02T16:34:25Z,2018-04-02T16:34:41Z,1.957,,,
CALVERT,KFPC06,51.811267,-128.233617,2018-04-02T16:41:39Z,2018-04-02T16:42:53Z,1.984,7.3533,30.9512,6.9156
CALVERT,KFPC06,51.811267,-128.233617,2018-05-01T16:35:07Z,2018-05-01T16:38:00Z,1.943,9.3211,31.1257,8.2701
CALVERT,KFPC06,51.811267,-128.233617,2018-05-29T17:00:58Z,2018-05-29T17:01:25Z,2.027,11.9234,30.5871,6.9883
CALVERT,KFPC06,51.811267,-128.233617,2018-06-22T16:29:06Z,2018-06-22T16:30:48Z,2.005,13.2316,30.4483,7.3698
CALVERT,KFPC06,51.811267,-128.233617,2018-06-22T16:34:34Z,2018-06-22T16:34:53Z,1.994,13.1984,30.291,7.5779
CALVERT,KFPC06,51.811267,-128.233617,2018-07-18T17:51:25Z,2018-07-18T17:51:38Z,1.987,13.3347,31.2577,7.4057
CALVERT,KFPC06,51.811267,-128.233617,2018-08-29T16:48:15Z,2018-08-29T16:48:30Z,1.975,12.8505,31.2407,6.2046