Date,Year,Month,WaterYear,TWtrMcmullin_northQ_level,TWtrMcmullin_northQ_flags,TWtrMcmullin_northUNESCO_Q_level,TWtrMcmullin_north,TWtrMcmullin_northMed,TWtrMcmullin_northAvg,TWtrMcmullin_northMin,TWtrMcmullin_northMax
PST,Year,Month,WaterYear,Quality level,Quality flags,UNESCO QC,deg C,deg C,deg C,deg C,deg C
date,Year,Month,WaterYear,NS_Mcmullin_north,NS_Mcmullin_north,NS_Mcmullin_north,NS_Mcmullin_north,NS_Mcmullin_north,NS_Mcmullin_north,NS_Mcmullin_north,NS_Mcmullin_north
date,year,month,waterYear,WaterTemp_QL,WaterTemp_QC,WaterTemp_UQL,WaterTemp,WaterTemp_Med,WaterTemp_Avg,WaterTemp_Min,WaterTemp_Max
2015-09-15,2015,Sep,2014-2015,1,"MV:15 of 24 missing:1 of 24 flagged",3,17.13,17.95,17.9500972222222,16.939,19.127
2015-09-16,2015,Sep,2014-2015,1,,2,11.929,12.334,13.7475711805556,11.929,19.341
2015-09-17,2015,Sep,2014-2015,1,,2,12.582,12.361125,12.3775607638889,11.953,12.63
2015-09-18,2015,Sep,2014-2015,1,,2,12.654,12.582,12.6048333333333,12.509,12.727
2015-09-19,2015,Sep,2014-2015,1,,2,12.896,12.748,12.7704618055556,12.63,12.896
2015-09-20,2015,Sep,2014-2015,1,,2,12.992,13.016,13.0081666666667,12.896,13.088
2015-09-21,2015,Sep,2014-2015,1,,2,13.04,12.968,12.9732013888889,12.871,13.064
2015-09-22,2015,Sep,2014-2015,1,,2,12.727,12.823,12.8523836805556,12.703,13.04
2015-09-23,2015,Sep,2014-2015,1,,2,12.823,12.751,12.7174791666667,12.558,12.823
2015-09-24,2015,Sep,2014-2015,1,,2,12.751,12.775,12.7925347222222,12.703,12.92
2015-09-25,2015,Sep,2014-2015,1,,2,12.582,12.618,12.6214322916667,12.485,12.775
2015-09-26,2015,Sep,2014-2015,1,,2,12.63,12.582,12.5905833333333,12.413,12.775
2015-09-27,2015,Sep,2014-2015,1,,2,12.461,12.555,12.543015625,12.413,12.678
2015-09-28,2015,Sep,2014-2015,1,,2,12.219,12.389,12.4093368055556,12.219,12.606
2015-09-29,2015,Sep,2014-2015,1,,2,12.001,12.219,12.2163784722222,11.977,12.413
2015-09-30,2015,Sep,2014-2015,1,,2,11.904,12.05,12.0487725694444,11.904,12.171
2015-10-01,2015,Oct,2015-2016,1,,2,11.953,11.983,11.9880399305556,11.783,12.171
2015-10-02,2015,Oct,2015-2016,1,,2,11.88,11.9165,11.953515625,11.734,12.171
2015-10-03,2015,Oct,2015-2016,1,,2,11.637,11.661625,11.6693940972222,11.37,11.904
2015-10-04,2015,Oct,2015-2016,1,,2,11.37,11.424625,11.4414288194444,11.102,11.662
2015-10-05,2015,Oct,2015-2016,1,,2,11.637,11.41275,11.4198628472222,11.2,11.662
2015-10-06,2015,Oct,2015-2016,1,,2,11.856,11.783,11.7627100694444,11.613,11.904
2015-10-07,2015,Oct,2015-2016,1,,2,11.856,11.88,11.8764236111111,11.759,11.977
2015-10-08,2015,Oct,2015-2016,1,,2,11.856,11.701,11.7440902777778,11.589,11.929
2015-10-09,2015,Oct,2015-2016,1,,2,12.074,11.929,11.9524270833333,11.856,12.098
2015-10-10,2015,Oct,2015-2016,1,,2,11.953,11.989,11.9633072916667,11.637,12.122
2015-10-11,2015,Oct,2015-2016,1,,2,11.734,11.786,11.7919496527778,11.686,11.953
2015-10-12,2015,Oct,2015-2016,1,,2,11.783,11.755875,11.7941510416667,11.637,12.001
2015-10-13,2015,Oct,2015-2016,1,,2,11.662,11.783,11.7745225694444,11.662,11.832
2015-10-14,2015,Oct,2015-2016,1,,2,11.419,11.6495,11.6269913194444,11.419,11.71
2015-10-15,2015,Oct,2015-2016,1,,2,11.394,11.543375,11.5392378472222,11.394,11.637
2015-10-16,2015,Oct,2015-2016,1,,2,11.467,11.422,11.4158177083333,11.248,11.516
2015-10-17,2015,Oct,2015-2016,1,,2,11.492,11.467,11.4676788194444,11.37,11.516
2015-10-18,2015,Oct,2015-2016,1,,2,11.516,11.455,11.450375,11.37,11.516
2015-10-19,2015,Oct,2015-2016,1,,2,11.54,11.54,11.5365347222222,11.492,11.613
2015-10-20,2015,Oct,2015-2016,1,,2,11.54,11.476375,11.4756388888889,11.394,11.565
2015-10-21,2015,Oct,2015-2016,1,,2,11.613,11.565,11.5514288194444,11.492,11.613
2015-10-22,2015,Oct,2015-2016,1,,2,11.589,11.589,11.5735208333333,11.467,11.613
2015-10-23,2015,Oct,2015-2016,1,,2,11.492,11.565,11.5494670138889,11.37,11.662
2015-10-24,2015,Oct,2015-2016,1,,2,11.467,11.419,11.4129322916667,11.297,11.516
2015-10-25,2015,Oct,2015-2016,1,,2,11.346,11.492,11.4666128472222,11.297,11.589
2015-10-26,2015,Oct,2015-2016,1,,2,11.273,11.382,11.3874461805556,11.248,11.516
2015-10-27,2015,Oct,2015-2016,1,,2,11.346,11.358,11.332609375,11.175,11.419
2015-10-28,2015,Oct,2015-2016,1,,2,11.37,11.44,11.441375,11.346,11.565
2015-10-29,2015,Oct,2015-2016,1,,2,11.492,11.415875,11.41509375,11.346,11.516
2015-10-30,2015,Oct,2015-2016,1,,2,11.613,11.637,11.635296875,11.467,11.686
2015-10-31,2015,Oct,2015-2016,1,,2,11.832,11.58,11.6356197916667,11.54,11.832
2015-11-01,2015,Nov,2015-2016,1,,2,11.346,11.674,11.6398993055556,11.297,11.832
2015-11-02,2015,Nov,2015-2016,1,,2,11.37,11.309125,11.2960347222222,10.956,11.54
2015-11-03,2015,Nov,2015-2016,1,,2,11.613,11.324125,11.3703975694444,11.273,11.613
2015-11-04,2015,Nov,2015-2016,1,,2,11.467,11.537,11.5436215277778,11.467,11.637
2015-11-05,2015,Nov,2015-2016,1,,2,11.443,11.467,11.4663541666667,11.419,11.516
2015-11-06,2015,Nov,2015-2016,1,,2,11.248,11.336625,11.3334079861111,11.2,11.467
2015-11-07,2015,Nov,2015-2016,1,,2,11.127,11.175,11.1758489583333,11.053,11.248
2015-11-08,2015,Nov,2015-2016,1,,2,11.029,11.07175,11.0861909722222,10.785,11.248
2015-11-09,2015,Nov,2015-2016,1,,2,10.98,11.005,10.9639045138889,10.443,11.175
2015-11-10,2015,Nov,2015-2016,1,,2,10.81,10.7485,10.7316354166667,10.492,10.98
2015-11-11,2015,Nov,2015-2016,1,,2,10.492,10.671875,10.58590625,10.1,10.858
2015-11-12,2015,Nov,2015-2016,1,,2,10.59,10.602,10.5692534722222,10.247,10.785
2015-11-13,2015,Nov,2015-2016,1,,2,10.418,10.519375,10.5209791666667,10.418,10.638
2015-11-14,2015,Nov,2015-2016,1,,2,10.492,10.19475,10.2370381944444,9.977,10.59
2015-11-15,2015,Nov,2015-2016,1,,2,10.247,10.3205,10.3159184027778,10.001,10.516
2015-11-16,2015,Nov,2015-2016,1,,2,10.394,10.0505,10.0248211805556,9.657,10.394
2015-11-17,2015,Nov,2015-2016,1,,2,9.534,10.17925,10.099625,9.534,10.394
2015-11-18,2015,Nov,2015-2016,1,,2,9.952,9.608,9.66987152777778,9.336,10.001
2015-11-19,2015,Nov,2015-2016,1,,2,9.756,9.814,9.79547222222222,9.435,10.124
2015-11-20,2015,Nov,2015-2016,1,,2,9.879,9.450375,9.49874479166667,8.866,10.075
2015-11-21,2015,Nov,2015-2016,1,,2,9.706,9.734125,9.75997395833333,9.608,9.928
2015-11-22,2015,Nov,2015-2016,1,,2,9.46,9.60175,9.59433680555555,9.386,9.805
2015-11-23,2015,Nov,2015-2016,1,,2,9.485,9.46925,9.38370659722222,8.965,9.632
2015-11-24,2015,Nov,2015-2016,1,,2,9.682,9.4225,9.347609375,8.792,9.756
2015-11-25,2015,Nov,2015-2016,1,,2,9.682,9.601625,9.45150694444444,8.668,9.805
2015-11-26,2015,Nov,2015-2016,1,,2,9.558,9.481375,9.43758333333333,9.015,9.682
2015-11-27,2015,Nov,2015-2016,1,,2,9.46,9.305375,9.29031597222222,8.916,9.558
2015-11-28,2015,Nov,2015-2016,1,,2,9.188,9.00875,9.04174305555556,8.767,9.46
2015-11-29,2015,Nov,2015-2016,1,,2,8.841,8.900375,8.897921875,8.568,9.188
2015-11-30,2015,Nov,2015-2016,1,,2,8.668,8.664875,8.68746006944444,8.195,9.064
2015-12-01,2015,Dec,2015-2016,1,,2,9.238,8.937375,8.94224652777778,8.543,9.238
2015-12-02,2015,Dec,2015-2016,1,,2,9.262,9.238,9.21632638888889,9.015,9.336
2015-12-03,2015,Dec,2015-2016,1,,2,9.238,9.238,9.22595833333333,9.139,9.287
2015-12-04,2015,Dec,2015-2016,1,,2,9.262,9.361,9.35738888888889,9.064,9.509
2015-12-05,2015,Dec,2015-2016,1,,2,9.064,9.114,9.12842708333333,9.064,9.262
2015-12-06,2015,Dec,2015-2016,1,,2,9.04,9.064,9.0491875,8.965,9.114
2015-12-07,2015,Dec,2015-2016,1,,2,9.163,9.114,9.09341145833334,8.965,9.163
2015-12-08,2015,Dec,2015-2016,1,,2,9.114,9.139,9.11636284722222,9.015,9.163
2015-12-09,2015,Dec,2015-2016,1,,2,8.866,9.011875,8.99377083333333,8.792,9.114
2015-12-10,2015,Dec,2015-2016,1,,2,8.693,8.826,8.84512673611111,8.568,9.089
2015-12-11,2015,Dec,2015-2016,1,,2,8.99,8.887875,8.88132465277778,8.693,9.015
2015-12-12,2015,Dec,2015-2016,1,,2,8.817,8.8165,8.82218229166667,8.693,8.9775
2015-12-13,2015,Dec,2015-2016,1,,2,8.12,8.62425,8.60068923611111,8.12,8.891
2015-12-14,2015,Dec,2015-2016,1,,2,8.792,8.627375,8.60384027777778,8.1325,8.916
2015-12-15,2015,Dec,2015-2016,1,,2,8.444,8.627375,8.64763194444444,8.369,8.866
2015-12-16,2015,Dec,2015-2016,1,,2,8.444,8.537,8.49902083333333,8.195,8.717
2015-12-17,2015,Dec,2015-2016,1,,2,8.444,8.394,8.34643055555555,7.895,8.593
2015-12-18,2015,Dec,2015-2016,1,,2,8.12,8.4315,8.40565277777778,8.12,8.568
2015-12-19,2015,Dec,2015-2016,1,,2,8.145,8.1075,8.088359375,7.845,8.22
2015-12-20,2015,Dec,2015-2016,1,,2,7.97,8.2325,8.23213715277778,7.97,8.444
2015-12-21,2015,Dec,2015-2016,1,,2,8.469,8.22,8.21509201388889,7.945,8.494
2015-12-22,2015,Dec,2015-2016,1,,2,8.295,8.494,8.47724652777778,8.045,8.568
2015-12-23,2015,Dec,2015-2016,1,,2,8.295,8.248125,8.22815972222222,7.82,8.494
2015-12-24,2015,Dec,2015-2016,1,,2,7.72,7.9825,8.039734375,7.544,8.519
2015-12-25,2015,Dec,2015-2016,1,,2,7.217,7.835625,7.87595659722222,7.217,8.344
2015-12-26,2015,Dec,2015-2016,1,,2,7.87,7.87,7.83706076388889,7.217,8.245
2015-12-27,2015,Dec,2015-2016,1,,2,8.245,8.195,8.19282118055555,7.87,8.344
2015-12-28,2015,Dec,2015-2016,1,,2,8.045,8.10125,8.10754861111111,7.795,8.369
2015-12-29,2015,Dec,2015-2016,1,,2,7.645,8.00125,7.97830555555556,7.594,8.27
2015-12-30,2015,Dec,2015-2016,1,,2,7.544,7.60975,7.63085590277778,7.217,8.12
2015-12-31,2015,Dec,2015-2016,1,,2,7.091,7.4125,7.35175868055556,6.99,7.67
2016-01-01,2016,Jan,2015-2016,1,,2,7.318,7.12275,7.13403645833333,6.813,7.393
2016-01-02,2016,Jan,2015-2016,1,,2,7.217,7.151375,7.13677256944444,6.94,7.318
2016-01-03,2016,Jan,2015-2016,1,,2,7.041,6.968125,7.00390277777778,6.788,7.293
2016-01-04,2016,Jan,2015-2016,1,,2,6.788,6.657875,6.71515451388889,6.458,7.142
2016-01-05,2016,Jan,2015-2016,1,,2,7.368,7.069125,6.99324305555556,6.458,7.444
2016-01-06,2016,Jan,2015-2016,1,,2,7.192,7.021375,7.02761805555555,6.687,7.393
2016-01-07,2016,Jan,2015-2016,1,,2,6.788,7.031375,6.99545138888889,6.712,7.318
2016-01-08,2016,Jan,2015-2016,1,,2,6.94,7.03425,7.02976388888889,6.687,7.242
2016-01-09,2016,Jan,2015-2016,1,,2,7.041,7.2805,7.24765798611111,6.914,7.444
2016-01-10,2016,Jan,2015-2016,1,,2,7.015,7.28675,7.26229513888889,7.015,7.469
2016-01-11,2016,Jan,2015-2016,1,,2,7.544,7.36225,7.271109375,6.839,7.544
2016-01-12,2016,Jan,2015-2016,1,,2,7.569,7.569,7.56114409722222,7.444,7.619
2016-01-13,2016,Jan,2015-2016,1,,2,7.745,7.597125,7.60870833333333,7.444,7.745
2016-01-14,2016,Jan,2015-2016,1,,2,7.619,7.72,7.71192013888889,7.594,7.77
2016-01-15,2016,Jan,2015-2016,1,,2,7.368,7.469,7.47369270833333,7.293,7.67
2016-01-16,2016,Jan,2015-2016,1,,2,7.393,7.36175,7.36208854166667,7.217,7.469
2016-01-17,2016,Jan,2015-2016,1,,2,7.569,7.515875,7.49030555555555,7.318,7.594
2016-01-18,2016,Jan,2015-2016,1,,2,7.569,7.544,7.52629166666667,7.469,7.594
2016-01-19,2016,Jan,2015-2016,1,,2,7.619,7.569,7.55849652777778,7.494,7.619
2016-01-20,2016,Jan,2015-2016,1,,2,7.519,7.494,7.46891666666667,7.293,7.6065
2016-01-21,2016,Jan,2015-2016,1,,2,7.494,7.494,7.47407118055556,7.343,7.569
2016-01-22,2016,Jan,2015-2016,1,,2,7.745,7.6825,7.666265625,7.444,7.82
2016-01-23,2016,Jan,2015-2016,1,,2,7.67,7.695,7.68108854166667,7.594,7.7325
2016-01-24,2016,Jan,2015-2016,1,,2,7.645,7.619,7.57730729166667,7.318,7.72
2016-01-25,2016,Jan,2015-2016,1,,2,7.645,7.5565,7.57132638888889,7.469,7.72
2016-01-26,2016,Jan,2015-2016,1,,2,8.07,7.904375,7.92308159722222,7.645,8.12
2016-01-27,2016,Jan,2015-2016,1,,2,8.12,8.023125,8.07112847222222,7.97,8.195
2016-01-28,2016,Jan,2015-2016,1,,2,8.195,8.12,8.119515625,7.92,8.319
2016-01-29,2016,Jan,2015-2016,1,,2,7.92,8.260625,8.23831076388888,7.92,8.419
2016-01-30,2016,Jan,2015-2016,1,,2,7.895,7.82,7.83931423611111,7.695,7.995
2016-01-31,2016,Jan,2015-2016,1,,2,7.745,7.8825,7.87182291666667,7.745,7.92
2016-02-01,2016,Feb,2015-2016,1,,2,7.77,7.67,7.67333854166667,7.519,7.845
2016-02-02,2016,Feb,2015-2016,1,,2,7.544,7.544,7.54360069444444,7.368,7.77
2016-02-03,2016,Feb,2015-2016,1,,2,7.72,7.519,7.51988888888889,7.343,7.72
2016-02-04,2016,Feb,2015-2016,1,,2,7.795,7.791875,7.77716145833333,7.645,7.845
2016-02-05,2016,Feb,2015-2016,1,,2,7.845,7.95125,7.93380208333333,7.8075,8.07
2016-02-06,2016,Feb,2015-2016,1,,2,7.895,7.77,7.77598958333333,7.645,7.895
2016-02-07,2016,Feb,2015-2016,1,,2,7.92,7.8825,7.83530381944444,7.569,7.945
2016-02-08,2016,Feb,2015-2016,1,,2,8.17,8.1075,8.10064236111111,7.92,8.295
2016-02-09,2016,Feb,2015-2016,1,,2,8.12,8.141875,8.12546875,7.97,8.22
2016-02-10,2016,Feb,2015-2016,1,,2,8.145,8.12,8.12377604166667,8.095,8.17
2016-02-11,2016,Feb,2015-2016,1,,2,8.22,8.12,8.11309895833334,8.02,8.22
2016-02-12,2016,Feb,2015-2016,1,,2,8.12,8.195,8.1996875,8.12,8.27
2016-02-13,2016,Feb,2015-2016,1,,2,8.07,8.02,8.02998263888889,7.945,8.12
2016-02-14,2016,Feb,2015-2016,1,,2,8.145,8.12,8.11500868055556,7.995,8.17
2016-02-15,2016,Feb,2015-2016,1,,2,8.17,8.091875,8.09999131944444,8.045,8.17
2016-02-16,2016,Feb,2015-2016,1,,2,8.245,8.2575,8.23025173611111,8.02,8.344
2016-02-17,2016,Feb,2015-2016,1,,2,8.27,8.17,8.18610243055556,8.12,8.27
2016-02-18,2016,Feb,2015-2016,1,,2,8.369,8.298,8.29660590277778,8.145,8.369
2016-02-19,2016,Feb,2015-2016,1,,2,8.245,8.307,8.309125,8.195,8.394
2016-02-20,2016,Feb,2015-2016,1,,2,8.27,8.110625,8.17588715277777,7.895,8.568
2016-02-21,2016,Feb,2015-2016,1,,2,7.995,8.21375,8.169484375,7.845,8.419
2016-02-22,2016,Feb,2015-2016,1,,2,8.369,8.060625,8.18001736111111,7.87,8.543
2016-02-23,2016,Feb,2015-2016,1,,2,8.394,8.353375,8.26864409722222,7.82,8.444
2016-02-24,2016,Feb,2015-2016,1,,2,8.618,8.35075,8.36627083333333,8.045,8.717
2016-02-25,2016,Feb,2015-2016,1,,2,8.792,8.668,8.66499652777778,8.469,8.817
2016-02-26,2016,Feb,2015-2016,1,,2,8.767,8.792,8.79264756944445,8.742,8.866
2016-02-27,2016,Feb,2015-2016,1,,2,8.817,8.792,8.82339236111111,8.693,8.965
2016-02-28,2016,Feb,2015-2016,1,,2,8.99,8.738875,8.78047743055556,8.668,8.99
2016-02-29,2016,Feb,2015-2016,1,,2,8.916,8.980625,8.93085763888889,8.717,9.04
2016-03-01,2016,Mar,2015-2016,1,,2,8.643,8.68,8.70954340277778,8.568,8.916
2016-03-02,2016,Mar,2015-2016,1,,2,8.841,8.767,8.73300347222222,8.519,8.841
2016-03-03,2016,Mar,2015-2016,1,,2,8.817,8.841,8.84630555555556,8.792,8.916
2016-03-04,2016,Mar,2015-2016,1,,2,8.866,8.8535,8.835609375,8.767,8.891
2016-03-05,2016,Mar,2015-2016,1,,2,8.965,8.866,8.88425173611111,8.742,8.99
2016-03-06,2016,Mar,2015-2016,1,,2,8.742,8.912875,8.88941493055555,8.717,8.965
2016-03-07,2016,Mar,2015-2016,1,,2,8.792,8.689875,8.71007986111111,8.519,8.941
2016-03-08,2016,Mar,2015-2016,1,,2,8.469,8.6305,8.63407465277778,8.469,8.792
2016-03-09,2016,Mar,2015-2016,1,,2,8.742,8.668,8.67027604166667,8.444,8.866
2016-03-10,2016,Mar,2015-2016,1,,2,8.668,8.689875,8.69698958333333,8.618,8.792
2016-03-11,2016,Mar,2015-2016,1,,2,8.618,8.668,8.65242708333334,8.519,8.717
