Date,Year,Month,WaterYear,TWtrGooseSE_sgrassQ_level,TWtrGooseSE_sgrassQ_flags,TWtrGooseSE_sgrassUNESCO_Q_level,TWtrGooseSE_sgrass,TWtrGooseSE_sgrassMed,TWtrGooseSE_sgrassAvg,TWtrGooseSE_sgrassMin,TWtrGooseSE_sgrassMax
PST,Year,Month,WaterYear,Quality level,Quality flags,UNESCO QC,deg C,deg C,deg C,deg C,deg C
date,Year,Month,WaterYear,NS_Goose_SE_sgrass,NS_Goose_SE_sgrass,NS_Goose_SE_sgrass,NS_Goose_SE_sgrass,NS_Goose_SE_sgrass,NS_Goose_SE_sgrass,NS_Goose_SE_sgrass,NS_Goose_SE_sgrass
date,year,month,waterYear,WaterTemp_QL,WaterTemp_QC,WaterTemp_UQL,WaterTemp,WaterTemp_Med,WaterTemp_Avg,WaterTemp_Min,WaterTemp_Max
2015-09-15,2015,Sep,2014-2015,1,"MV:15 of 24 missing:1 of 24 flagged",3,17.13,17.439,17.2408240740741,15.724,18.2
2015-09-16,2015,Sep,2014-2015,1,,2,13.353,14.24325,14.8003975694444,13.112,18.961
2015-09-17,2015,Sep,2014-2015,1,,2,13.329,13.356,13.3559166666667,13.161,13.522
2015-09-18,2015,Sep,2014-2015,1,,2,13.185,13.314,13.2775208333333,13.112,13.425
2015-09-19,2015,Sep,2014-2015,1,,2,13.185,13.149,13.1478819444444,13.064,13.233
2015-09-20,2015,Sep,2014-2015,1,,2,13.185,13.158,13.1553958333333,13.016,13.329
2015-09-21,2015,Sep,2014-2015,1,,2,13.233,13.212,13.2615763888889,13.112,13.57
2015-09-22,2015,Sep,2014-2015,1,,2,12.775,12.877375,12.9215451388889,12.775,13.257
2015-09-23,2015,Sep,2014-2015,1,,2,12.871,12.727,12.7702569444444,12.63,12.944
2015-09-24,2015,Sep,2014-2015,1,,2,13.04,12.892875,12.9789704861111,12.775,13.281
2015-09-25,2015,Sep,2014-2015,1,,2,12.703,12.871,12.9030711805556,12.703,13.064
2015-09-26,2015,Sep,2014-2015,1,,2,12.775,12.727,12.7689791666667,12.654,12.944
2015-09-27,2015,Sep,2014-2015,1,,2,12.654,12.693625,12.7269184027778,12.558,12.944
2015-09-28,2015,Sep,2014-2015,1,,2,12.654,12.597,12.5991666666667,12.509,12.703
2015-09-29,2015,Sep,2014-2015,1,,2,12.509,12.591,12.5978767361111,12.509,12.678
2015-09-30,2015,Sep,2014-2015,1,,2,12.485,12.473,12.4670763888889,12.364,12.534
2015-10-01,2015,Oct,2015-2016,1,,2,12.413,12.461,12.4595555555556,12.364,12.582
2015-10-02,2015,Oct,2015-2016,1,,2,12.34,12.389,12.3885434027778,12.268,12.509
2015-10-03,2015,Oct,2015-2016,1,,2,12.292,12.292,12.2473263888889,12.05,12.364
2015-10-04,2015,Oct,2015-2016,1,,2,12.34,12.355,12.3685694444444,12.243,12.509
2015-10-05,2015,Oct,2015-2016,1,,2,12.823,12.537,12.5324461805556,12.316,12.847
2015-10-06,2015,Oct,2015-2016,1,,2,12.34,12.588,12.6160677083333,12.34,12.823
2015-10-07,2015,Oct,2015-2016,1,,2,11.88,12.171,12.1501875,11.856,12.34
2015-10-08,2015,Oct,2015-2016,1,,2,12.098,12.098,12.0928090277778,11.88,12.243
2015-10-09,2015,Oct,2015-2016,1,,2,12.34,12.243375,12.2498298611111,12.098,12.389
2015-10-10,2015,Oct,2015-2016,1,,2,12.195,12.34,12.3290989583333,12.171,12.389
2015-10-11,2015,Oct,2015-2016,1,,2,11.832,12.0375,12.0029288194444,11.807,12.219
2015-10-12,2015,Oct,2015-2016,1,,2,11.856,11.8195,11.8314791666667,11.613,12.098
2015-10-13,2015,Oct,2015-2016,1,,2,12.025,11.883,11.9257482638889,11.783,12.171
2015-10-14,2015,Oct,2015-2016,1,,2,11.88,11.828875,11.7990225694444,11.589,12.025
2015-10-15,2015,Oct,2015-2016,1,,2,11.807,11.716,11.7366197916667,11.589,11.88
2015-10-16,2015,Oct,2015-2016,1,,2,11.759,11.7465,11.7310555555556,11.613,11.832
2015-10-17,2015,Oct,2015-2016,1,,2,11.977,11.868,11.8686354166667,11.759,12.001
2015-10-18,2015,Oct,2015-2016,1,,2,11.759,11.88,11.8427118055556,11.734,11.965
2015-10-19,2015,Oct,2015-2016,1,,2,11.88,11.88,11.8386649305556,11.734,11.953
2015-10-20,2015,Oct,2015-2016,1,,2,11.516,11.6375,11.7133958333333,11.516,11.88
2015-10-21,2015,Oct,2015-2016,1,,2,11.613,11.601,11.5886163194444,11.467,11.783
2015-10-22,2015,Oct,2015-2016,1,,2,11.613,11.613,11.6274861111111,11.565,11.734
2015-10-23,2015,Oct,2015-2016,1,,2,12.025,11.686,11.6984444444444,11.516,12.025
2015-10-24,2015,Oct,2015-2016,1,,2,12.122,12.11,12.0882135416667,12.001,12.171
2015-10-25,2015,Oct,2015-2016,1,,2,11.977,12.019,12.0258003472222,11.88,12.122
2015-10-26,2015,Oct,2015-2016,1,,2,11.662,11.88,11.8421163194444,11.662,11.977
2015-10-27,2015,Oct,2015-2016,1,,2,11.71,11.467,11.4464027777778,11.224,11.71
2015-10-28,2015,Oct,2015-2016,1,,2,11.71,11.701,11.6635416666667,11.443,11.783
2015-10-29,2015,Oct,2015-2016,1,,2,11.613,11.674,11.667015625,11.565,11.734
2015-10-30,2015,Oct,2015-2016,1,,2,11.71,11.734,11.7327274305556,11.625,11.856
2015-10-31,2015,Oct,2015-2016,1,,2,11.637,11.810125,11.7840295138889,11.565,11.929
2015-11-01,2015,Nov,2015-2016,1,,2,11.662,11.662,11.6597274305556,11.516,11.734
2015-11-02,2015,Nov,2015-2016,1,,2,11.613,11.637,11.6271614583333,11.54,11.662
2015-11-03,2015,Nov,2015-2016,1,,2,11.565,11.625,11.6233472222222,11.565,11.662
2015-11-04,2015,Nov,2015-2016,1,,2,11.419,11.37,11.3879965277778,11.321,11.565
2015-11-05,2015,Nov,2015-2016,1,,2,11.151,11.419,11.4423402777778,11.151,11.589
2015-11-06,2015,Nov,2015-2016,1,,2,11.005,11.053,11.0470590277778,10.858,11.321
2015-11-07,2015,Nov,2015-2016,1,,2,10.858,10.883,10.8688454861111,10.736,11.005
2015-11-08,2015,Nov,2015-2016,1,,2,11.053,10.846,10.8381059027778,10.614,11.053
2015-11-09,2015,Nov,2015-2016,1,,2,11.005,11.047,11.0584027777778,10.834,11.175
2015-11-10,2015,Nov,2015-2016,1,,2,10.247,10.427375,10.4381701388889,9.903,11.005
2015-11-11,2015,Nov,2015-2016,1,,2,9.756,9.87575,9.92801215277778,9.657,10.247
2015-11-12,2015,Nov,2015-2016,1,,2,9.509,9.805,9.78001909722222,9.46,10.051
2015-11-13,2015,Nov,2015-2016,1,,2,9.977,9.9705,10.0063611111111,9.46,10.59
2015-11-14,2015,Nov,2015-2016,1,,2,9.657,9.672625,9.76322916666667,9.41,10.222
2015-11-15,2015,Nov,2015-2016,1,,2,9.386,9.611,9.612609375,9.386,9.731
2015-11-16,2015,Nov,2015-2016,1,,2,9.435,9.524625,9.53890798611111,9.287,9.928
2015-11-17,2015,Nov,2015-2016,1,,2,9.756,9.648,9.73661631944445,9.4475,10.369
2015-11-18,2015,Nov,2015-2016,1,,2,9.163,9.354875,9.41068229166667,9.163,9.903
2015-11-19,2015,Nov,2015-2016,1,,2,8.916,9.015,9.00131076388889,8.866,9.163
2015-11-20,2015,Nov,2015-2016,1,,2,8.792,8.568,8.55820138888889,8.27,8.916
2015-11-21,2015,Nov,2015-2016,1,,2,8.717,8.767,8.72182465277778,8.444,8.891
2015-11-22,2015,Nov,2015-2016,1,,2,9.632,8.9315,8.92271701388889,8.494,9.632
2015-11-23,2015,Nov,2015-2016,1,,2,9.163,9.682,9.60110590277778,8.99,9.805
2015-11-24,2015,Nov,2015-2016,1,,2,8.693,8.7295,8.77664236111111,8.27,9.312
2015-11-25,2015,Nov,2015-2016,1,,2,8.419,8.693,8.62096180555556,8.195,8.891
2015-11-26,2015,Nov,2015-2016,1,,2,8.095,8.254375,8.23243055555555,7.845,8.717
2015-11-27,2015,Nov,2015-2016,1,,2,8.369,8.22,8.12750347222222,7.368,8.593
2015-11-28,2015,Nov,2015-2016,1,,2,8.27,8.534,8.46713715277778,7.92,8.767
2015-11-29,2015,Nov,2015-2016,1,,2,8.02,7.97625,7.96963541666667,7.67,8.394
2015-11-30,2015,Nov,2015-2016,1,,2,8.17,7.945,8.02271875,7.795,8.469
2015-12-01,2015,Dec,2015-2016,1,,2,8.469,8.444,8.42430729166667,8.045,8.593
2015-12-02,2015,Dec,2015-2016,1,,2,8.693,8.652375,8.67697916666667,8.394,9.114
2015-12-03,2015,Dec,2015-2016,1,,2,8.767,8.974375,8.89546875,8.618,9.064
2015-12-04,2015,Dec,2015-2016,1,,2,8.767,8.941,8.89759722222222,8.643,9.015
2015-12-05,2015,Dec,2015-2016,1,,2,8.742,8.72325,8.73199479166667,8.643,8.817
2015-12-06,2015,Dec,2015-2016,1,,2,8.941,8.817,8.82493229166667,8.693,8.941
2015-12-07,2015,Dec,2015-2016,1,,2,8.866,8.9775,8.96940104166666,8.866,9.015
2015-12-08,2015,Dec,2015-2016,1,,2,8.916,8.891,8.88971180555555,8.792,8.965
2015-12-09,2015,Dec,2015-2016,1,,2,8.841,8.965,8.94537326388889,8.767,9.04
2015-12-10,2015,Dec,2015-2016,1,,2,8.742,8.742,8.72776215277778,8.419,8.891
2015-12-11,2015,Dec,2015-2016,1,,2,8.593,8.6555,8.63435590277778,8.469,8.742
2015-12-12,2015,Dec,2015-2016,1,,2,8.717,8.714,8.75503472222222,8.494,9.064
2015-12-13,2015,Dec,2015-2016,1,,2,8.27,8.6055,8.51749131944445,7.795,8.792
2015-12-14,2015,Dec,2015-2016,1,,2,7.945,8.1825,8.09265451388889,7.368,8.295
2015-12-15,2015,Dec,2015-2016,1,,2,8.419,8.531,8.45367013888889,7.9575,8.817
2015-12-16,2015,Dec,2015-2016,1,,2,8.07,8.2945,8.23679340277778,7.795,8.519
2015-12-17,2015,Dec,2015-2016,1,,2,7.544,7.67,7.69914930555556,7.419,8.0575
2015-12-18,2015,Dec,2015-2016,1,,2,7.544,7.710625,7.74954861111111,7.519,8.02
2015-12-19,2015,Dec,2015-2016,1,,2,7.82,7.7325,7.73257638888889,7.393,8.045
2015-12-20,2015,Dec,2015-2016,1,,2,7.67,7.795,7.89762847222222,7.619,8.344
2015-12-21,2015,Dec,2015-2016,1,,2,7.569,7.6065,7.59929340277778,7.268,7.82
2015-12-22,2015,Dec,2015-2016,1,,2,7.67,7.645,7.64524826388889,7.569,7.745
2015-12-23,2015,Dec,2015-2016,1,,2,7.67,7.779375,7.88892361111111,7.67,8.27
2015-12-24,2015,Dec,2015-2016,1,,2,7.72,7.754375,7.76351041666667,7.242,8.095
2015-12-25,2015,Dec,2015-2016,1,,2,7.368,7.569,7.56975,6.914,7.945
2015-12-26,2015,Dec,2015-2016,1,,2,7.67,7.2425,7.11448263888889,5.437,7.895
2015-12-27,2015,Dec,2015-2016,1,,2,8.27,8.191875,8.15095833333333,7.444,8.469
2015-12-28,2015,Dec,2015-2016,1,,2,8.045,8.22,8.20017534722222,8.02,8.344
2015-12-29,2015,Dec,2015-2016,1,,2,7.82,7.979375,7.94187673611111,7.569,8.145
2015-12-30,2015,Dec,2015-2016,1,,2,7.318,7.50025,7.45166319444445,7.091,7.845
2015-12-31,2015,Dec,2015-2016,1,,2,6.535,6.635875,6.68796354166667,6.408,7.318
2016-01-01,2016,Jan,2015-2016,1,,2,5.745,6.1785,6.13687152777778,5.745,6.522
2016-01-02,2016,Jan,2015-2016,1,,2,5.642,5.82425,5.80960243055556,5.437,6.051
2016-01-03,2016,Jan,2015-2016,1,,2,5.821,5.565,5.60116840277778,5.308,5.872
2016-01-04,2016,Jan,2015-2016,1,,2,5.77,5.869,5.89222048611111,5.77,6
2016-01-05,2016,Jan,2015-2016,1,,2,5.821,5.847,5.89907118055556,5.642,6.204
2016-01-06,2016,Jan,2015-2016,1,,2,6.051,6,6.14148958333333,5.565,7.142
2016-01-07,2016,Jan,2015-2016,1,,2,6.535,6.535,6.53259027777778,6.0895,6.94
2016-01-08,2016,Jan,2015-2016,1,,2,6.484,6.505875,6.52559548611111,6.179,6.813
2016-01-09,2016,Jan,2015-2016,1,,2,6.788,6.70875,6.68847222222222,6.331,7.167
2016-01-10,2016,Jan,2015-2016,1,,2,6.687,6.88275,6.84473090277778,6.509,7.116
2016-01-11,2016,Jan,2015-2016,1,,2,7.368,7.053,6.97870659722222,6.179,7.444
2016-01-12,2016,Jan,2015-2016,1,,2,7.318,7.327375,7.27703125,7.041,7.419
2016-01-13,2016,Jan,2015-2016,1,,2,7.318,7.393,7.36423611111111,7.217,7.444
2016-01-14,2016,Jan,2015-2016,1,,2,7.368,7.4815,7.46135069444444,7.318,7.544
2016-01-15,2016,Jan,2015-2016,1,,2,7.167,7.238875,7.24611284722222,7.041,7.444
2016-01-16,2016,Jan,2015-2016,1,,2,7.142,7.142,7.14637673611111,6.99,7.217
2016-01-17,2016,Jan,2015-2016,1,,2,7.519,7.217,7.27665104166667,7.091,7.619
2016-01-18,2016,Jan,2015-2016,1,,2,7.845,7.73875,7.70916319444444,7.444,7.97
2016-01-19,2016,Jan,2015-2016,1,,2,7.795,7.795,7.70449652777778,7.494,7.87
2016-01-20,2016,Jan,2015-2016,1,,2,7.695,7.544,7.52052777777778,7.242,7.7825
2016-01-21,2016,Jan,2015-2016,1,,2,7.67,7.490875,7.489140625,7.268,7.82
2016-01-22,2016,Jan,2015-2016,1,,2,7.97,7.741875,7.75030555555555,7.594,7.995
2016-01-23,2016,Jan,2015-2016,1,,2,7.645,7.698125,7.73086284722222,7.569,7.97
2016-01-24,2016,Jan,2015-2016,1,,2,7.494,7.544,7.539359375,7.242,7.695
2016-01-25,2016,Jan,2015-2016,1,,2,7.67,7.553375,7.54695833333333,7.368,7.745
2016-01-26,2016,Jan,2015-2016,1,,2,8.07,7.960625,7.92208333333333,7.645,8.07
2016-01-27,2016,Jan,2015-2016,1,,2,8.494,8.272625,8.24463194444444,7.845,8.519
2016-01-28,2016,Jan,2015-2016,1,,2,8.469,8.515875,8.50186284722222,8.444,8.543
2016-01-29,2016,Jan,2015-2016,1,,2,7.87,8.344,8.29159548611111,7.745,8.469
2016-01-30,2016,Jan,2015-2016,1,,2,7.72,7.685625,7.71850347222222,7.469,8.095
2016-01-31,2016,Jan,2015-2016,1,,2,7.795,7.82625,7.82907118055555,7.72,7.945
2016-02-01,2016,Feb,2015-2016,1,,2,7.469,7.729375,7.72480902777778,7.469,7.945
2016-02-02,2016,Feb,2015-2016,1,,2,7.544,7.494,7.53800868055556,7.393,7.72
2016-02-03,2016,Feb,2015-2016,1,,2,7.519,7.519,7.52994618055556,7.142,7.695
2016-02-04,2016,Feb,2015-2016,1,,2,7.97,7.679375,7.685015625,7.494,7.97
2016-02-05,2016,Feb,2015-2016,1,,2,7.995,7.998125,8.010234375,7.82,8.22
2016-02-06,2016,Feb,2015-2016,1,,2,7.945,7.77625,7.74229513888889,7.419,7.995
2016-02-07,2016,Feb,2015-2016,1,,2,7.945,7.848125,7.73594444444444,7.318,8.02
2016-02-08,2016,Feb,2015-2016,1,,2,8.145,8.0825,8.08435416666667,7.92,8.344
2016-02-09,2016,Feb,2015-2016,1,,2,8.195,8.145,8.10689236111111,7.97,8.195
2016-02-10,2016,Feb,2015-2016,1,,2,8.27,8.22,8.22446701388889,8.12,8.344
2016-02-11,2016,Feb,2015-2016,1,,2,8.12,8.07625,8.12807291666667,8.045,8.27
2016-02-12,2016,Feb,2015-2016,1,,2,8.419,8.288625,8.30617534722222,8.1325,8.494
2016-02-13,2016,Feb,2015-2016,1,,2,8.095,8.12,8.120875,7.895,8.419
2016-02-14,2016,Feb,2015-2016,1,,2,8.07,8.095,8.09816840277778,8.045,8.145
2016-02-15,2016,Feb,2015-2016,1,,2,7.77,8.023125,8.00888888888888,7.77,8.095
2016-02-16,2016,Feb,2015-2016,1,,2,8.145,8.145,8.09608506944444,7.745,8.27
2016-02-17,2016,Feb,2015-2016,1,,2,8.22,8.195,8.17985590277778,7.92,8.394
2016-02-18,2016,Feb,2015-2016,1,,2,8.369,8.3565,8.37588715277778,8.22,8.593
2016-02-19,2016,Feb,2015-2016,1,,2,8.319,8.347125,8.39196875,8.27,8.568
2016-02-20,2016,Feb,2015-2016,1,,2,8.245,8.245,8.24406597222222,8.095,8.344
2016-02-21,2016,Feb,2015-2016,1,,2,8.295,8.1075,8.11685763888889,7.845,8.419
2016-02-22,2016,Feb,2015-2016,1,,2,8.344,8.27,8.23241493055555,7.87,8.469
2016-02-23,2016,Feb,2015-2016,1,,2,8.27,8.307,8.34468402777778,8.045,8.643
2016-02-24,2016,Feb,2015-2016,1,,2,8.817,8.693,8.58837673611111,8.27,8.817
2016-02-25,2016,Feb,2015-2016,1,,2,8.941,8.84725,8.84470138888889,8.668,8.99
2016-02-26,2016,Feb,2015-2016,1,,2,9.064,9.0025,9.02973090277778,8.941,9.114
2016-02-27,2016,Feb,2015-2016,1,,2,8.965,9.015,8.96509548611111,8.693,9.139
2016-02-28,2016,Feb,2015-2016,1,,2,9.089,8.99,9.00456944444444,8.916,9.089
2016-02-29,2016,Feb,2015-2016,1,,2,8.965,8.965,8.97082638888889,8.767,9.114
2016-03-01,2016,Mar,2015-2016,1,,2,8.618,8.705,8.74016493055555,8.568,8.99
2016-03-02,2016,Mar,2015-2016,1,,2,8.767,8.742,8.70172743055555,8.519,8.792
2016-03-03,2016,Mar,2015-2016,1,,2,8.767,8.693,8.72896527777778,8.643,8.841
2016-03-04,2016,Mar,2015-2016,1,,2,8.866,8.838,8.826015625,8.717,8.916
2016-03-05,2016,Mar,2015-2016,1,,2,8.742,8.841,8.86102083333334,8.742,9.015
2016-03-06,2016,Mar,2015-2016,1,,2,8.693,8.742,8.75821701388889,8.693,8.866
2016-03-07,2016,Mar,2015-2016,1,,2,8.817,8.668,8.6926875,8.394,8.866
2016-03-08,2016,Mar,2015-2016,1,,2,8.618,8.664875,8.61556770833333,8.344,8.817
2016-03-09,2016,Mar,2015-2016,1,,2,8.618,8.571125,8.53857638888889,8.195,8.668
2016-03-10,2016,Mar,2015-2016,1,,2,8.519,8.602375,8.582421875,8.444,8.717
2016-03-11,2016,Mar,2015-2016,1,,2,8.419,8.347125,8.32768055555556,8.095,8.543
2016-03-12,2016,Mar,2015-2016,1,,2,8.17,8.2575,8.19611979166667,7.87,8.419
2016-03-13,2016,Mar,2015-2016,1,,2,8.295,8.245,8.26191493055556,8.07,8.419
2016-03-14,2016,Mar,2015-2016,1,,2,8.095,8.2575,8.18840277777778,7.745,8.319
2016-03-15,2016,Mar,2015-2016,1,,2,8.12,8.116875,8.103984375,8.02,8.17
2016-03-16,2016,Mar,2015-2016,1,,2,8.668,8.59925,8.48428472222222,8.095,8.866
2016-03-17,2016,Mar,2015-2016,1,,2,8.742,8.664875,8.67438541666667,7.995,9.188
2016-03-18,2016,Mar,2015-2016,1,,2,8.866,8.739,8.73434027777778,8.245,9.089
2016-03-19,2016,Mar,2015-2016,1,,2,8.866,8.8415,8.85108333333333,8.742,9.04
2016-03-20,2016,Mar,2015-2016,1,,2,8.916,8.87225,8.84854513888889,8.742,8.916
2016-03-21,2016,Mar,2015-2016,1,,2,9.064,8.941,8.99451388888889,8.891,9.188
2016-03-22,2016,Mar,2015-2016,1,,2,9.089,9.179,9.23274131944444,9.064,9.583
2016-03-23,2016,Mar,2015-2016,1,,2,8.792,8.891,8.89498090277778,8.767,9.089
2016-03-24,2016,Mar,2015-2016,1,,2,8.792,8.732625,8.71131944444444,8.494,8.792
2016-03-25,2016,Mar,2015-2016,1,,2,9.114,8.8665,8.88034375,8.568,9.213
2016-03-26,2016,Mar,2015-2016,1,,2,8.99,9.064,8.96224305555556,8.742,9.114
2016-03-27,2016,Mar,2015-2016,1,,2,8.866,8.82,8.78274305555555,8.519,9.015
2016-03-28,2016,Mar,2015-2016,1,,2,9.015,8.887875,8.84603993055555,8.568,9.064
2016-03-29,2016,Mar,2015-2016,1,,2,9.262,9.052,9.05426562499999,8.742,9.287
2016-03-30,2016,Mar,2015-2016,1,,2,9.558,9.324,9.36949305555556,8.965,9.583
2016-03-31,2016,Mar,2015-2016,1,,2,10.418,9.887875,9.85225,9.509,10.418
2016-04-01,2016,Apr,2015-2016,1,,2,10.736,10.558875,10.5936840277778,10.369,10.858
2016-04-02,2016,Apr,2015-2016,1,,2,10.81,10.8035,10.8563298611111,10.541,11.273
2016-04-03,2016,Apr,2015-2016,1,,2,10.418,10.7945,10.7719513888889,10.418,11.127
2016-04-04,2016,Apr,2015-2016,1,,2,9.977,10.124375,10.1612795138889,9.952,10.467
2016-04-05,2016,Apr,2015-2016,1,,2,9.262,9.46,9.57871354166667,9.262,9.977
2016-04-06,2016,Apr,2015-2016,1,,2,9.386,9.287,9.30233333333333,9.188,9.41
2016-04-07,2016,Apr,2015-2016,1,,2,9.78,9.3395,9.36646180555555,9.238,9.854
2016-04-08,2016,Apr,2015-2016,1,,2,9.854,9.79875,9.79564930555556,9.509,10.075
2016-04-09,2016,Apr,2015-2016,1,,2,9.485,9.46,9.49325868055556,9.139,9.879
2016-04-10,2016,Apr,2015-2016,1,,2,9.558,9.534,9.53862326388889,9.41,9.657
2016-04-11,2016,Apr,2015-2016,1,,2,9.706,9.706,9.66075,9.534,9.756
2016-04-12,2016,Apr,2015-2016,1,,2,9.485,9.608,9.60779340277778,9.485,9.731
2016-04-13,2016,Apr,2015-2016,1,,2,9.534,9.534,9.49839409722222,9.336,9.78
2016-04-14,2016,Apr,2015-2016,1,,2,9.952,9.589125,9.70273263888889,9.41,10.051
2016-04-15,2016,Apr,2015-2016,1,,2,9.706,9.903,9.88167013888889,9.706,9.952
2016-04-16,2016,Apr,2015-2016,1,,2,9.632,9.657,9.66144791666667,9.583,9.731
2016-04-17,2016,Apr,2015-2016,1,,2,9.682,9.657,9.66579513888889,9.608,9.756
2016-04-18,2016,Apr,2015-2016,1,,2,9.657,9.756,9.79306423611111,9.657,10.026
2016-04-19,2016,Apr,2015-2016,1,,2,9.706,9.7,9.70237326388889,9.558,10.075
2016-04-20,2016,Apr,2015-2016,1,,2,10.1,9.977,10.0237604166667,9.706,10.394
2016-04-21,2016,Apr,2015-2016,1,,2,10.32,10.3815,10.3680347222222,10.1,10.59
2016-04-22,2016,Apr,2015-2016,1,,2,10.516,10.366125,10.3843958333333,10.198,10.663
2016-04-23,2016,Apr,2015-2016,1,,2,10.736,10.7485,10.7165416666667,10.443,10.858
2016-04-24,2016,Apr,2015-2016,1,,2,10.81,10.773,10.7763923611111,10.492,11.078
2016-04-25,2016,Apr,2015-2016,1,,2,10.687,10.733,10.732984375,10.565,10.932
2016-04-26,2016,Apr,2015-2016,1,,2,10.296,10.32,10.3787204861111,10.271,10.687
2016-04-27,2016,Apr,2015-2016,1,,2,10.712,10.638,10.496375,10.198,10.761
2016-04-28,2016,Apr,2015-2016,1,,2,10.222,10.5195,10.5055104166667,10.222,10.736
2016-04-29,2016,Apr,2015-2016,1,,2,10.736,10.49775,10.4033645833333,10.124,10.736
2016-04-30,2016,Apr,2015-2016,1,,2,10.418,10.513375,10.5283854166667,10.296,10.834
2016-05-01,2016,May,2015-2016,1,,2,10.785,10.604625,10.6194392361111,10.32,10.956
2016-05-02,2016,May,2015-2016,1,,2,11.078,11.03525,11.0932621527778,10.7975,11.54
2016-05-03,2016,May,2015-2016,1,,2,10.638,11.062375,11.0428611111111,10.638,11.273
2016-05-04,2016,May,2015-2016,1,,2,10.663,10.675,10.8134774305556,10.565,11.273
2016-05-05,2016,May,2015-2016,1,,2,10.785,10.632,10.75040625,10.516,11.2
2016-05-06,2016,May,2015-2016,1,,2,10.98,10.9195,10.965703125,10.614,11.54
2016-05-07,2016,May,2015-2016,1,,2,10.858,10.834,10.8442743055556,10.565,11.127
2016-05-08,2016,May,2015-2016,1,,2,10.736,10.785,10.7810104166667,10.516,11.127
2016-05-09,2016,May,2015-2016,1,,2,10.663,10.77,10.7403420138889,10.345,11.078
2016-05-10,2016,May,2015-2016,1,,2,10.736,10.74225,10.7113107638889,10.369,10.932
2016-05-11,2016,May,2015-2016,1,,2,10.59,10.638,10.7111354166667,10.369,11.127
2016-05-12,2016,May,2015-2016,1,,2,10.541,10.541,10.6595989583333,10.345,11.273
2016-05-13,2016,May,2015-2016,1,,2,10.858,10.761,10.7063732638889,10.345,11.224
2016-05-14,2016,May,2015-2016,1,,2,12.606,11.44,11.5403263888889,10.834,12.703
2016-05-15,2016,May,2015-2016,1,,2,12.413,12.70275,12.688265625,12.364,13.04
2016-05-16,2016,May,2015-2016,1,,2,12.63,12.603,12.6539427083333,12.34,13.112
2016-05-17,2016,May,2015-2016,1,,2,11.88,12.4215,12.3777743055555,11.88,12.727
2016-05-18,2016,May,2015-2016,1,,2,12.195,11.868,12.0026267361111,11.759,12.389
2016-05-19,2016,May,2015-2016,1,,2,11.637,12.05,12.0188576388889,11.637,12.195
2016-05-20,2016,May,2015-2016,1,,2,11.686,11.7495,11.7730607638889,11.346,12.195
2016-05-21,2016,May,2015-2016,1,,2,12.05,11.856,11.8668958333333,11.613,12.171
2016-05-22,2016,May,2015-2016,1,,2,12.34,12.2435,12.2105520833333,11.88,12.461
2016-05-23,2016,May,2015-2016,1,,2,11.686,11.913375,12.02184375,11.686,12.389
2016-05-24,2016,May,2015-2016,1,,2,11.88,11.731,11.7534201388889,11.637,11.929
2016-05-25,2016,May,2015-2016,1,,2,11.783,11.92275,11.8959947916667,11.613,12.195
2016-05-26,2016,May,2015-2016,1,,2,11.759,11.88,11.8401458333333,11.565,12.098
2016-05-27,2016,May,2015-2016,1,,2,11.953,11.904,11.7991840277778,11.467,11.977
2016-05-28,2016,May,2015-2016,1,,2,12.122,12.05,12.0001649305556,11.734,12.243
2016-05-29,2016,May,2015-2016,1,,2,12.799,12.615,12.4594982638889,11.977,12.92
2016-05-30,2016,May,2015-2016,1,,2,11.929,12.6785,12.6388506944444,11.88,13.305
2016-05-31,2016,May,2015-2016,1,,2,12.606,12.2375,12.2938038194444,11.88,12.775
2016-06-01,2016,Jun,2015-2016,1,,2,12.968,12.85,12.9219756944444,12.606,13.305
